timeSlot,numDirectedEdges,hops,delayMs,path
1,192,5,51.4216843680289,1->2->3->4->12->20
2,192,5,51.4335909965537,1->2->3->4->12->20
3,192,5,51.2954332223315,1->2->3->4->12->20
4,192,5,51.0132492030503,1->2->3->4->12->20
5,192,5,50.5993717344219,1->2->3->4->12->20
6,192,5,50.0718892478298,1->2->3->4->12->20
7,192,5,49.4538552590799,1->2->3->4->12->20
8,190,5,48.7722808191367,1->2->3->4->12->20
9,188,5,46.894927081489,1->2->3->4->12->20
10,186,5,45.9492429854776,1->2->3->4->12->20
11,184,5,46.6065000812685,1->2->3->4->12->20
12,182,5,46.4608703185559,1->2->10->18->19->20
13,180,5,44.1421824300677,1->2->10->18->19->20
14,180,5,44.6762258352486,1->9->17->18->19->20
15,180,5,44.4491113457887,1->9->17->18->19->20
16,182,5,44.3771877295719,1->9->17->18->19->20
17,184,5,52.3373472480575,1->9->17->18->19->20
18,186,5,54.5710039823083,1->9->17->18->19->20
19,188,5,44.9867507969497,1->9->17->18->19->20
20,190,5,42.955503361543,1->9->17->18->19->20
21,192,5,56.911676438275,1->9->17->18->19->20
22,192,5,58.2916032737004,1->9->17->18->19->20
23,192,5,59.5713760497326,1->9->17->18->19->20
24,192,5,60.6950625550278,1->9->17->18->19->20
25,192,5,61.6135522972586,1->9->17->18->19->20
26,192,5,62.2867028672866,1->9->17->18->19->20
27,192,5,62.7287991535993,1->9->10->11->12->20
28,192,5,50.5231524031948,1->2->3->4->12->20
29,192,5,50.9562952014676,1->2->3->4->12->20
30,192,5,51.2602337135581,1->2->3->4->12->20
